[2023-01-14 13:05:37] No settings files found: /home/toki/servers/mindustry/config/settings.bin and /home/toki/servers/mindustry/config/settings_backup.bin
[2023-01-14 17:33:13] Saving 2 values; 44 bytes
[2023-01-14 17:34:13] Saving 2 values; 44 bytes
[2023-01-14 17:35:13] Saving 2 values; 44 bytes
[2023-01-14 17:36:13] Saving 2 values; 44 bytes
[2023-01-14 17:37:13] Saving 2 values; 44 bytes
[2023-01-14 17:38:13] Saving 2 values; 44 bytes
[2023-01-14 17:39:13] Saving 2 values; 44 bytes
[2023-01-14 17:40:13] Saving 2 values; 44 bytes
[2023-01-14 17:41:13] Saving 2 values; 44 bytes
[2023-01-14 17:42:13] Saving 2 values; 44 bytes
[2023-01-14 17:43:13] Saving 2 values; 44 bytes
[2023-01-14 17:44:13] Saving 2 values; 44 bytes
[2023-01-14 17:45:13] Saving 2 values; 44 bytes
[2023-01-14 17:46:13] Saving 2 values; 44 bytes
[2023-01-14 17:47:13] Saving 2 values; 44 bytes
[2023-01-14 17:48:13] Saving 2 values; 44 bytes
[2023-01-14 17:49:13] Saving 2 values; 44 bytes
[2023-01-14 17:50:13] Saving 2 values; 44 bytes
[2023-01-14 17:51:13] Saving 2 values; 44 bytes
[2023-01-14 17:52:13] Saving 2 values; 44 bytes
[2023-01-14 17:53:13] Saving 2 values; 44 bytes
[2023-01-14 17:54:13] Saving 2 values; 44 bytes
[2023-01-14 17:55:13] Saving 2 values; 44 bytes
[2023-01-14 17:56:13] Saving 2 values; 44 bytes
[2023-01-14 17:57:13] Saving 2 values; 44 bytes
[2023-01-14 17:58:13] Saving 2 values; 44 bytes
[2023-01-14 17:59:13] Saving 2 values; 44 bytes
[2023-01-14 18:00:13] Saving 2 values; 44 bytes
[2023-01-14 18:01:13] Saving 2 values; 44 bytes
[2023-01-14 18:02:13] Saving 2 values; 44 bytes
[2023-01-14 18:03:13] Saving 2 values; 44 bytes
[2023-01-14 18:04:13] Saving 2 values; 44 bytes
[2023-01-14 18:05:13] Saving 2 values; 44 bytes
[2023-01-14 18:06:13] Saving 2 values; 44 bytes
[2023-01-14 18:07:13] Saving 2 values; 44 bytes
[2023-01-14 18:08:13] Saving 2 values; 44 bytes
[2023-01-14 18:09:13] Saving 2 values; 44 bytes
[2023-01-14 18:10:13] Saving 2 values; 44 bytes
[2023-01-14 18:11:13] Saving 2 values; 44 bytes
[2023-01-14 18:12:13] Saving 2 values; 44 bytes
[2023-01-14 18:13:13] Saving 2 values; 44 bytes
[2023-01-14 18:14:13] Saving 2 values; 44 bytes
[2023-01-14 18:15:13] Saving 2 values; 44 bytes
[2023-01-14 18:16:13] Saving 2 values; 44 bytes
[2023-01-14 18:17:13] Saving 2 values; 44 bytes
[2023-01-14 18:18:13] Saving 2 values; 44 bytes
[2023-01-14 18:19:13] Saving 2 values; 44 bytes
[2023-01-14 18:20:13] Saving 2 values; 44 bytes
[2023-01-14 18:21:13] Saving 2 values; 44 bytes
[2023-01-14 18:22:13] Saving 2 values; 44 bytes
[2023-01-14 18:23:13] Saving 2 values; 44 bytes
[2023-01-14 18:24:13] Saving 2 values; 44 bytes
[2023-01-14 18:25:13] Saving 2 values; 44 bytes
[2023-01-14 18:26:13] Saving 2 values; 44 bytes
[2023-01-14 18:27:13] Saving 2 values; 44 bytes
[2023-01-14 18:28:13] Saving 2 values; 44 bytes
[2023-01-14 18:29:13] Saving 2 values; 44 bytes
[2023-01-14 18:30:13] Saving 2 values; 44 bytes
[2023-01-14 18:31:13] Saving 2 values; 44 bytes
[2023-01-14 18:32:13] Saving 2 values; 44 bytes
[2023-01-14 18:33:13] Saving 2 values; 44 bytes
[2023-01-14 18:34:13] Saving 2 values; 44 bytes
[2023-01-14 18:35:13] Saving 2 values; 44 bytes
[2023-01-14 18:36:13] Saving 2 values; 44 bytes
[2023-01-14 18:37:13] Saving 2 values; 44 bytes
[2023-01-14 18:38:13] Saving 2 values; 44 bytes
[2023-01-14 18:39:13] Saving 2 values; 44 bytes
[2023-01-14 18:40:13] Saving 2 values; 44 bytes
[2023-01-14 18:41:13] Saving 2 values; 44 bytes
[2023-01-14 18:42:13] Saving 2 values; 44 bytes
[2023-01-14 18:43:13] Saving 2 values; 44 bytes
[2023-01-14 18:44:13] Saving 2 values; 44 bytes
[2023-01-14 18:45:13] Saving 2 values; 44 bytes
[2023-01-14 18:46:13] Saving 2 values; 44 bytes
[2023-01-14 18:47:13] Saving 2 values; 44 bytes
[2023-01-14 18:48:13] Saving 2 values; 44 bytes
[2023-01-14 18:49:13] Saving 2 values; 44 bytes
